timestamps,X,Y,Z
1699986374.277,0.255,0.013,0.963
1699986374.277,0.265,0.013,0.958
1699986374.323,0.262,0.006,0.970
1699986374.323,0.260,0.009,0.969
1699986374.323,0.261,0.007,0.962
1699986374.394,0.258,0.008,0.967
1699986374.394,0.254,0.009,0.970
1699986374.394,0.249,0.007,0.962
1699986374.456,0.247,0.005,0.968
1699986374.456,0.243,0.005,0.967
1699986374.456,0.252,0.011,0.954
1699986374.505,0.255,0.012,0.967
1699986374.505,0.258,0.015,0.960
1699986374.505,0.260,0.019,0.951
1699986374.565,0.260,0.018,0.946
1699986374.565,0.257,0.011,0.948
1699986374.565,0.254,0.005,0.951
1699986374.621,0.246,0.004,0.965
1699986374.621,0.251,-0.003,0.966
1699986374.621,0.248,-0.007,0.973
1699986374.679,0.250,-0.009,0.988
1699986374.679,0.265,-0.007,0.980
1699986374.679,0.283,-0.009,0.971
1699986374.743,0.297,-0.010,0.965
1699986374.743,0.305,-0.010,0.956
1699986374.743,0.303,-0.005,0.959
1699986374.801,0.297,-0.000,0.957
1699986374.801,0.290,-0.001,0.957
1699986374.801,0.284,0.005,0.957
1699986374.860,0.277,0.008,0.951
1699986374.860,0.281,0.009,0.948
1699986374.860,0.277,0.016,0.954
1699986374.920,0.279,0.013,0.955
1699986374.920,0.277,0.012,0.961
1699986374.920,0.274,0.011,0.961
1699986374.986,0.274,0.014,0.967
1699986374.986,0.277,0.010,0.971
1699986374.986,0.271,-0.000,0.978
1699986375.041,0.271,-0.008,0.977
1699986375.041,0.269,-0.011,0.974
1699986375.041,0.273,-0.018,0.967
1699986375.101,0.268,-0.029,0.965
1699986375.101,0.266,-0.037,0.965
1699986375.101,0.267,-0.041,0.959
1699986375.159,0.265,-0.049,0.949
1699986375.159,0.271,-0.052,0.956
1699986375.159,0.274,-0.053,0.955
1699986375.219,0.281,-0.054,0.951
1699986375.219,0.287,-0.057,0.958
1699986375.219,0.292,-0.056,0.954
1699986375.280,0.286,-0.059,0.949
1699986375.280,0.268,-0.058,0.952
1699986375.280,0.262,-0.055,0.955
1699986375.340,0.254,-0.056,0.957
