timestamps,X,Y,Z
1699986363.460,0.283,-0.029,0.959
1699986363.460,0.276,-0.032,0.967
1699986363.460,0.266,-0.034,0.972
1699986363.519,0.267,-0.030,0.955
1699986363.519,0.261,-0.021,0.965
1699986363.519,0.265,-0.020,0.975
1699986363.578,0.276,-0.023,0.972
1699986363.578,0.292,-0.026,0.954
1699986363.578,0.296,-0.028,0.947
1699986363.644,0.296,-0.033,0.941
1699986363.644,0.292,-0.035,0.951
1699986363.644,0.285,-0.031,0.963
1699986363.701,0.275,-0.030,0.969
1699986363.701,0.267,-0.031,0.967
1699986363.701,0.259,-0.030,0.966
1699986363.759,0.260,-0.027,0.965
1699986363.759,0.266,-0.026,0.964
1699986363.759,0.277,-0.028,0.964
1699986363.821,0.284,-0.027,0.951
1699986363.821,0.285,-0.028,0.946
1699986363.821,0.281,-0.027,0.947
1699986363.880,0.273,-0.025,0.960
1699986363.880,0.269,-0.034,0.973
1699986363.880,0.263,-0.028,0.971
1699986363.941,0.268,-0.029,0.969
1699986363.941,0.270,-0.030,0.965
1699986363.941,0.269,-0.028,0.963
1699986364.001,0.272,-0.029,0.961
1699986364.001,0.269,-0.025,0.957
1699986364.001,0.271,-0.026,0.955
1699986364.059,0.272,-0.028,0.953
1699986364.059,0.269,-0.025,0.955
1699986364.059,0.273,-0.021,0.960
1699986364.107,0.269,-0.022,0.967
1699986364.107,0.270,-0.023,0.966
1699986364.107,0.265,-0.025,0.971
1699986364.179,0.270,-0.025,0.965
1699986364.179,0.269,-0.028,0.955
1699986364.179,0.267,-0.028,0.963
1699986364.226,0.275,-0.026,0.957
1699986364.226,0.277,-0.026,0.961
1699986364.226,0.276,-0.024,0.969
1699986364.293,0.274,-0.024,0.967
1699986364.293,0.277,-0.025,0.964
1699986364.293,0.274,-0.030,0.955
1699986364.345,0.272,-0.030,0.954
1699986364.345,0.271,-0.033,0.959
1699986364.345,0.275,-0.029,0.961
1699986364.405,0.279,-0.029,0.959
1699986364.405,0.277,-0.029,0.967
1699986364.405,0.274,-0.031,0.968
1699986364.465,0.277,-0.030,0.959
1699986364.465,0.273,-0.032,0.960
1699986364.465,0.274,-0.028,0.962
1699986364.527,0.274,-0.028,0.963
1699986364.527,0.276,-0.028,0.963
1699986364.527,0.275,-0.030,0.960
1699986364.586,0.275,-0.031,0.958
1699986364.586,0.277,-0.034,0.957
1699986364.586,0.279,-0.025,0.956
1699986364.644,0.279,-0.029,0.961
1699986364.644,0.277,-0.024,0.960
1699986364.644,0.272,-0.030,0.963
1699986364.704,0.275,-0.028,0.965
1699986364.704,0.274,-0.028,0.965
1699986364.704,0.277,-0.025,0.965
1699986364.766,0.281,-0.023,0.959
1699986364.766,0.284,-0.025,0.963
1699986364.766,0.293,-0.025,0.962
1699986364.825,0.292,-0.022,0.962
1699986364.825,0.294,-0.021,0.965
1699986364.825,0.293,-0.025,0.968
1699986364.884,0.288,-0.025,0.961
1699986364.884,0.291,-0.021,0.964
1699986364.884,0.289,-0.021,0.971
1699986364.947,0.295,-0.019,0.963
1699986364.947,0.286,-0.014,0.973
1699986364.947,0.263,-0.022,0.982
1699986364.993,0.242,-0.020,0.975
1699986364.993,0.217,-0.021,0.923
1699986364.993,0.202,-0.018,0.912
1699986365.065,0.228,-0.005,0.909
1699986365.065,0.238,-0.000,0.940
1699986365.065,0.226,0.004,0.973
1699986365.109,0.210,0.001,0.988
1699986365.109,0.197,0.001,1.004
1699986365.109,0.201,-0.004,0.996
1699986365.171,0.204,-0.009,0.986
1699986365.171,0.202,-0.020,0.981
1699986365.171,0.195,-0.030,0.981
1699986365.233,0.207,-0.031,0.980
1699986365.233,0.223,-0.034,0.972
1699986365.233,0.235,-0.034,0.959
1699986365.291,0.237,-0.034,0.956
1699986365.350,0.238,-0.029,0.972
1699986365.350,0.242,-0.022,0.982
1699986365.350,0.243,-0.022,0.984
1699986365.412,0.238,-0.014,0.988
1699986365.412,0.235,-0.010,0.986
1699986365.412,0.237,-0.010,0.982
1699986365.469,0.232,-0.005,0.970
1699986365.469,0.228,-0.007,0.962
1699986365.469,0.215,-0.005,0.964
1699986365.530,0.211,-0.009,0.960
1699986365.530,0.206,-0.007,0.965
1699986365.530,0.200,-0.006,0.965
1699986365.589,0.199,-0.004,0.971
1699986365.589,0.199,-0.005,0.977
1699986365.589,0.198,-0.003,0.998
1699986365.652,0.204,-0.002,0.995
1699986365.652,0.211,-0.008,0.986
1699986365.652,0.213,-0.012,0.988
1699986365.699,0.223,-0.012,0.988
1699986365.699,0.228,-0.015,0.982
1699986365.699,0.234,-0.013,0.974
1699986365.770,0.240,-0.012,0.973
1699986365.770,0.242,-0.017,0.963
1699986365.770,0.245,-0.013,0.965
1699986365.831,0.241,-0.012,0.968
1699986365.831,0.235,-0.009,0.975
1699986365.831,0.234,-0.014,0.976
1699986365.889,0.236,-0.010,0.973
1699986365.889,0.236,-0.009,0.969
1699986365.889,0.234,-0.012,0.976
1699986365.936,0.236,-0.008,0.975
1699986365.936,0.236,-0.006,0.972
1699986365.936,0.240,-0.009,0.966
1699986366.013,0.243,-0.008,0.964
1699986366.013,0.244,-0.004,0.968
1699986366.013,0.253,-0.002,0.966
1699986366.055,0.254,-0.000,0.964
1699986366.055,0.257,0.004,0.965
1699986366.055,0.253,0.005,0.967
1699986366.117,0.250,0.003,0.969
1699986366.117,0.246,0.006,0.974
1699986366.117,0.245,0.005,0.971
1699986366.174,0.249,0.006,0.962
1699986366.174,0.250,0.005,0.968
1699986366.174,0.248,0.006,0.967
1699986366.235,0.249,0.007,0.965
1699986366.235,0.250,0.006,0.967
1699986366.235,0.250,0.006,0.972
1699986366.294,0.248,0.006,0.965
1699986366.294,0.251,0.003,0.962
1699986366.294,0.255,0.009,0.965
1699986366.360,0.254,0.011,0.967
1699986366.360,0.254,0.012,0.973
1699986366.360,0.253,0.011,0.979
1699986366.414,0.259,0.013,0.973
1699986366.414,0.261,0.010,0.968
1699986366.414,0.260,0.007,0.963
1699986366.474,0.265,0.005,0.962
1699986366.474,0.266,0.001,0.963
1699986366.474,0.268,0.002,0.963
1699986366.536,0.267,-0.001,0.958
1699986366.536,0.260,0.004,0.964
1699986366.536,0.261,-0.000,0.959
1699986366.594,0.258,0.000,0.960
1699986366.594,0.256,-0.000,0.967
1699986366.594,0.258,0.004,0.971
1699986366.655,0.256,0.008,0.971
1699986366.655,0.256,0.007,0.969
1699986366.655,0.254,0.005,0.968
1699986366.714,0.251,0.003,0.966
1699986366.714,0.252,0.003,0.964
1699986366.714,0.251,0.007,0.963
1699986366.777,0.252,0.006,0.965
1699986366.777,0.251,0.008,0.967
1699986366.777,0.249,0.003,0.968
1699986366.824,0.250,0.003,0.967
1699986366.824,0.253,0.007,0.965
1699986366.824,0.249,0.009,0.964
1699986366.881,0.249,0.008,0.969
1699986366.881,0.250,0.005,0.968
1699986366.881,0.253,0.011,0.968
1699986366.955,0.249,0.008,0.967
1699986366.955,0.249,0.010,0.967
1699986366.955,0.254,0.009,0.966
1699986367.015,0.253,0.009,0.975
1699986367.015,0.250,0.006,0.969
1699986367.015,0.256,0.007,0.970
1699986367.062,0.258,-0.002,0.960
1699986367.062,0.263,0.005,0.964
1699986367.062,0.257,0.007,0.978
1699986367.121,0.258,0.003,0.971
1699986367.121,0.261,0.002,0.966
1699986367.121,0.264,0.003,0.963
1699986367.180,0.265,0.000,0.961
1699986367.180,0.260,-0.001,0.966
1699986367.180,0.261,-0.001,0.965
1699986367.242,0.262,-0.003,0.964
1699986367.242,0.260,-0.002,0.966
1699986367.242,0.255,-0.004,0.972
1699986367.299,0.260,-0.003,0.960
1699986367.299,0.258,-0.004,0.959
1699986367.299,0.259,-0.001,0.965
1699986367.360,0.260,-0.004,0.966
1699986367.360,0.259,-0.011,0.969
1699986367.360,0.257,-0.009,0.961
1699986367.420,0.255,-0.013,0.961
1699986367.420,0.259,-0.010,0.961
1699986367.420,0.260,-0.008,0.963
1699986367.482,0.263,-0.011,0.967
1699986367.482,0.265,-0.010,0.969
1699986367.482,0.261,-0.014,0.963
1699986367.539,0.262,-0.019,0.968
1699986367.539,0.258,-0.016,0.966
1699986367.539,0.257,-0.020,0.963
1699986367.599,0.259,-0.019,0.957
1699986367.599,0.254,-0.018,0.966
1699986367.599,0.255,-0.020,0.967
1699986367.659,0.256,-0.020,0.969
1699986367.659,0.255,-0.016,0.965
1699986367.659,0.259,-0.018,0.963
1699986367.719,0.260,-0.017,0.972
1699986367.719,0.255,-0.017,0.963
1699986367.719,0.253,-0.019,0.970
1699986367.780,0.246,-0.020,0.970
1699986367.780,0.250,-0.019,0.970
1699986367.780,0.247,-0.022,0.978
1699986367.839,0.245,-0.023,0.969
1699986367.839,0.243,-0.024,0.967
1699986367.839,0.238,-0.024,0.966
1699986367.900,0.238,-0.026,0.957
1699986367.900,0.236,-0.027,0.963
1699986367.900,0.232,-0.023,0.968
1699986367.950,0.241,-0.024,0.965
1699986367.950,0.238,-0.022,0.973
1699986367.950,0.242,-0.025,0.979
1699986368.006,0.252,-0.023,0.968
1699986368.006,0.250,-0.024,0.969
1699986368.006,0.246,-0.023,0.976
1699986368.065,0.248,-0.026,0.965
1699986368.065,0.242,-0.025,0.976
1699986368.065,0.241,-0.023,0.970
1699986368.126,0.241,-0.019,0.966
1699986368.126,0.242,-0.021,0.966
1699986368.126,0.241,-0.018,0.964
1699986368.186,0.240,-0.018,0.965
1699986368.186,0.241,-0.019,0.968
1699986368.186,0.240,-0.019,0.969
1699986368.245,0.240,-0.016,0.971
1699986368.245,0.240,-0.019,0.973
1699986368.245,0.240,-0.021,0.972
1699986368.304,0.244,-0.019,0.968
1699986368.304,0.246,-0.020,0.972
1699986368.304,0.247,-0.022,0.964
1699986368.366,0.247,-0.021,0.965
1699986368.366,0.249,-0.023,0.967
1699986368.366,0.248,-0.021,0.970
1699986368.428,0.247,-0.024,0.965
1699986368.428,0.243,-0.022,0.970
1699986368.428,0.252,-0.025,0.969
1699986368.486,0.257,-0.017,0.962
1699986368.486,0.254,-0.019,0.970
1699986368.486,0.251,-0.020,0.969
1699986368.544,0.249,-0.021,0.966
1699986368.544,0.246,-0.024,0.968
1699986368.544,0.250,-0.027,0.963
1699986368.611,0.253,-0.022,0.961
1699986368.611,0.258,-0.016,0.965
1699986368.611,0.263,-0.017,0.968
1699986368.667,0.267,-0.016,0.964
1699986368.667,0.260,-0.019,0.970
1699986368.667,0.256,-0.021,0.960
1699986368.724,0.247,-0.019,0.959
1699986368.724,0.245,-0.022,0.967
1699986368.724,0.254,-0.018,0.971
1699986368.784,0.258,-0.011,0.974
1699986368.784,0.266,-0.012,0.967
1699986368.784,0.266,-0.012,0.963
1699986368.844,0.264,-0.013,0.966
1699986368.844,0.267,-0.015,0.960
1699986368.844,0.264,-0.016,0.959
1699986368.889,0.262,-0.012,0.963
1699986368.889,0.259,-0.015,0.964
1699986368.889,0.258,-0.012,0.970
1699986368.949,0.258,-0.011,0.969
1699986368.949,0.263,-0.013,0.967
1699986368.949,0.263,-0.011,0.970
1699986369.010,0.264,-0.010,0.969
1699986369.010,0.263,-0.014,0.962
1699986369.010,0.264,-0.014,0.965
1699986369.074,0.261,-0.013,0.964
1699986369.074,0.263,-0.014,0.967
1699986369.074,0.261,-0.017,0.967
1699986369.130,0.259,-0.022,0.963
1699986369.130,0.261,-0.022,0.963
1699986369.130,0.265,-0.020,0.964
1699986369.190,0.271,-0.018,0.955
1699986369.190,0.267,-0.014,0.962
1699986369.190,0.265,-0.015,0.975
1699986369.249,0.269,-0.014,0.969
1699986369.249,0.270,-0.018,0.962
1699986369.249,0.269,-0.018,0.957
1699986369.324,0.270,-0.020,0.956
1699986369.324,0.269,-0.021,0.960
1699986369.324,0.267,-0.017,0.962
1699986369.369,0.271,-0.013,0.958
1699986369.369,0.269,-0.016,0.965
1699986369.369,0.264,-0.017,0.970
1699986369.429,0.268,-0.016,0.961
1699986369.429,0.263,-0.013,0.962
1699986369.429,0.264,-0.019,0.969
1699986369.489,0.268,-0.015,0.967
1699986369.489,0.269,-0.019,0.964
1699986369.489,0.263,-0.014,0.964
1699986369.539,0.262,-0.014,0.960
1699986369.539,0.266,-0.014,0.961
1699986369.539,0.263,-0.014,0.962
1699986369.609,0.264,-0.014,0.965
1699986369.609,0.265,-0.012,0.963
1699986369.609,0.265,-0.012,0.968
1699986369.668,0.263,-0.013,0.965
1699986369.668,0.263,-0.010,0.966
1699986369.668,0.261,-0.011,0.967
1699986369.745,0.264,-0.009,0.960
1699986369.745,0.264,-0.007,0.963
1699986369.745,0.265,-0.007,0.965
1699986369.778,0.267,-0.008,0.963
1699986369.778,0.265,-0.006,0.963
1699986369.778,0.265,-0.010,0.962
1699986369.850,0.265,-0.008,0.967
1699986369.850,0.262,-0.010,0.963
1699986369.850,0.259,-0.011,0.966
1699986369.896,0.260,-0.009,0.968
1699986369.896,0.270,-0.008,0.957
1699986369.896,0.267,-0.005,0.967
1699986369.957,0.265,-0.007,0.973
1699986369.957,0.266,-0.008,0.964
1699986369.957,0.268,-0.007,0.961
1699986370.016,0.264,-0.009,0.961
1699986370.016,0.264,-0.012,0.956
1699986370.016,0.267,-0.008,0.957
1699986370.075,0.267,-0.004,0.956
1699986370.075,0.270,-0.004,0.962
1699986370.075,0.266,-0.007,0.967
1699986370.136,0.262,-0.007,0.971
1699986370.136,0.266,-0.004,0.959
1699986370.136,0.263,-0.002,0.957
1699986370.199,0.264,-0.002,0.972
1699986370.199,0.267,0.001,0.970
1699986370.199,0.267,-0.002,0.968
1699986370.257,0.268,-0.004,0.962
1699986370.257,0.267,-0.007,0.960
1699986370.257,0.265,-0.007,0.956
1699986370.315,0.268,-0.005,0.959
1699986370.374,0.265,-0.001,0.961
1699986370.374,0.262,-0.003,0.960
1699986370.374,0.266,-0.005,0.966
1699986370.439,0.270,-0.005,0.967
1699986370.439,0.267,-0.005,0.966
1699986370.439,0.271,-0.003,0.966
1699986370.494,0.271,-0.009,0.962
1699986370.494,0.270,-0.010,0.960
1699986370.494,0.267,-0.011,0.962
1699986370.554,0.269,-0.013,0.961
1699986370.554,0.266,-0.008,0.963
1699986370.554,0.266,-0.007,0.963
1699986370.614,0.266,-0.011,0.959
1699986370.614,0.267,-0.010,0.966
1699986370.614,0.271,-0.009,0.962
1699986370.664,0.277,-0.003,0.959
1699986370.664,0.271,-0.005,0.965
1699986370.664,0.268,-0.001,0.971
1699986370.720,0.267,-0.007,0.964
1699986370.720,0.262,-0.003,0.961
1699986370.720,0.262,-0.008,0.956
1699986370.779,0.265,-0.010,0.956
1699986370.779,0.272,-0.007,0.957
1699986370.779,0.275,-0.004,0.958
1699986370.840,0.272,-0.005,0.959
1699986370.840,0.268,-0.005,0.971
1699986370.840,0.266,-0.005,0.971
1699986370.902,0.269,-0.008,0.962
1699986370.902,0.266,-0.006,0.964
1699986370.902,0.269,-0.009,0.970
1699986370.961,0.271,-0.009,0.964
1699986370.961,0.269,-0.010,0.960
1699986370.961,0.270,-0.010,0.961
1699986371.020,0.269,-0.012,0.957
1699986371.020,0.267,-0.010,0.959
1699986371.020,0.266,-0.009,0.964
1699986371.080,0.269,-0.006,0.961
1699986371.080,0.272,-0.009,0.966
1699986371.080,0.268,-0.010,0.964
1699986371.139,0.266,-0.007,0.964
1699986371.139,0.263,-0.009,0.961
1699986371.139,0.263,-0.009,0.961
1699986371.201,0.263,-0.004,0.966
1699986371.201,0.265,-0.009,0.968
1699986371.201,0.266,-0.009,0.963
1699986371.262,0.267,-0.008,0.963
1699986371.262,0.267,-0.006,0.959
1699986371.262,0.267,-0.007,0.963
1699986371.321,0.265,-0.011,0.965
1699986371.321,0.268,-0.011,0.963
1699986371.321,0.267,-0.012,0.963
1699986371.380,0.267,-0.014,0.954
1699986371.380,0.266,-0.014,0.965
1699986371.380,0.271,-0.010,0.964
1699986371.440,0.272,-0.008,0.966
1699986371.440,0.270,-0.010,0.973
1699986371.440,0.270,-0.010,0.964
1699986371.499,0.273,-0.011,0.958
1699986371.499,0.274,-0.014,0.959
1699986371.499,0.274,-0.016,0.956
1699986371.561,0.273,-0.014,0.954
1699986371.561,0.270,-0.011,0.956
1699986371.561,0.268,-0.014,0.961
1699986371.606,0.262,-0.014,0.966
1699986371.606,0.261,-0.009,0.969
1699986371.606,0.268,-0.011,0.959
1699986371.665,0.272,-0.009,0.964
1699986371.665,0.272,-0.014,0.968
1699986371.665,0.271,-0.010,0.970
1699986371.725,0.268,-0.009,0.963
1699986371.725,0.266,-0.012,0.961
1699986371.725,0.266,-0.010,0.958
1699986371.789,0.266,-0.012,0.958
1699986371.789,0.267,-0.008,0.959
1699986371.789,0.261,-0.010,0.961
1699986371.845,0.265,-0.004,0.967
1699986371.845,0.264,-0.003,0.965
1699986371.845,0.271,-0.006,0.966
1699986371.904,0.271,-0.007,0.965
1699986371.904,0.270,-0.005,0.964
1699986371.904,0.269,-0.006,0.961
1699986371.967,0.272,-0.005,0.967
1699986371.967,0.270,-0.009,0.959
1699986371.967,0.267,-0.005,0.954
1699986372.027,0.263,-0.006,0.957
1699986372.027,0.263,-0.005,0.958
1699986372.027,0.263,-0.004,0.963
1699986372.084,0.266,-0.004,0.966
1699986372.084,0.270,-0.001,0.970
1699986372.084,0.273,-0.001,0.964
1699986372.145,0.278,-0.004,0.964
1699986372.145,0.281,-0.004,0.963
1699986372.145,0.280,-0.003,0.954
1699986372.204,0.276,-0.005,0.963
1699986372.204,0.270,-0.004,0.967
1699986372.204,0.275,-0.004,0.955
1699986372.280,0.270,-0.003,0.957
1699986372.280,0.271,-0.002,0.962
1699986372.280,0.273,-0.000,0.956
1699986372.325,0.274,0.002,0.961
1699986372.325,0.273,0.007,0.961
1699986372.325,0.268,0.008,0.964
1699986372.385,0.267,0.006,0.971
1699986372.385,0.268,0.004,0.971
1699986372.385,0.268,0.007,0.960
1699986372.446,0.267,0.004,0.960
1699986372.446,0.264,0.007,0.964
1699986372.446,0.268,0.006,0.961
1699986372.493,0.265,0.007,0.967
1699986372.493,0.265,0.005,0.961
1699986372.493,0.267,0.007,0.958
1699986372.565,0.268,0.007,0.956
1699986372.565,0.267,0.008,0.960
1699986372.565,0.270,0.004,0.960
1699986372.611,0.270,0.012,0.966
1699986372.611,0.265,0.009,0.969
1699986372.611,0.265,0.007,0.965
1699986372.671,0.271,0.008,0.963
1699986372.671,0.266,0.007,0.961
1699986372.671,0.267,0.007,0.961
1699986372.733,0.270,0.009,0.961
1699986372.733,0.269,0.008,0.959
1699986372.733,0.267,0.007,0.963
1699986372.790,0.269,0.010,0.963
1699986372.790,0.269,0.008,0.962
1699986372.790,0.270,0.011,0.961
1699986372.850,0.269,0.006,0.963
1699986372.850,0.271,0.007,0.962
1699986372.850,0.266,0.005,0.959
1699986372.912,0.270,0.006,0.962
1699986372.912,0.270,0.007,0.964
1699986372.912,0.276,0.006,0.961
1699986372.970,0.272,0.010,0.964
